variable,range,median,mean,mode,skew_stat,skew_p,chi_stat,chi_p
best_affect,"[1.0, 9.0]",8.0,7.8308259134172555,[9.],-20.435808735305816,8.03505568921594e-93,4714.587657353393,0.0
conv_leader,"[1.0, 9.0]",5.0,4.912803193122506,[5.],-0.17722212295234377,0.8593339190997648,1118.9646914338348,3.0721558779886493e-236
conversationalist,"[0.0, 100.0]",79.0,73.88547743322076,[90.],-22.179386010582007,5.431503484457178e-109,6551.635554190974,0.0
how_enjoyable,"[1.0, 9.0]",8.0,7.41111452256678,[9.],-22.780116706021403,7.219818821853547e-115,3218.084126496776,0.0
in_common,"[1.0, 9.0]",6.0,5.891003991403132,[7.],-10.400025079886381,2.4786794848721798e-25,1141.3693583051888,4.447493669383069e-241
i_like_you,"[1.0, 7.0]",6.0,5.995087503837888,[7.],-23.67243560659163,6.93491286834265e-124,3718.741786920479,0.0
i_felt_close_to_my_partner,"[1.0, 7.0]",5.0,4.909975669099757,[6.],-8.470986085293076,2.433243073406014e-17,341.5328467153285,1.0137851155889884e-70
i_think_your_status,"[1.0, 10.0]",6.0,5.9115479115479115,[5.],-1.9365865945299061,0.05279589793954769,2895.3820638820634,0.0
i_would_like_to_become_friends,"[1.0, 7.0]",5.0,4.970802919708029,[6.],-7.6280419982363785,2.3834592251916938e-14,254.5693430656935,4.328281005258684e-52
overall_affect,"[1.0, 9.0]",7.0,7.323610684679153,[7.],-13.98963336439373,1.803392115253337e-44,3368.9757445501996,0.0
responsive_1,"[1.0, 7.0]",6.0,5.714373464373464,[6.],-25.225802387280396,2.0878522225655828e-140,4371.540540540541,0.0
responsive_2,"[1.0, 7.0]",6.0,5.751228501228502,[6.],-22.391138206245433,4.801694641768454e-111,4208.124078624079,0.0
responsive_3,"[1.0, 7.0]",6.0,5.942260442260443,[6.],-27.79539338768373,4.931125069785948e-170,4908.145577395579,0.0
you_are_friendly,"[1.0, 9.0]",8.0,8.081670248695119,[9.],-29.299353966710857,1.0569714708430698e-188,6514.184218606079,0.0
you_are_good_listener,"[1.0, 9.0]",8.0,7.534540988639852,[7.],-25.313454355094034,2.2712502281787159e-141,4712.531777709548,0.0
you_are_intelligent,"[1.0, 9.0]",8.0,7.674854160270187,[8.],-23.015321223337576,3.274351621952248e-117,4304.572305802885,0.0
you_are_kind,"[1.0, 9.0]",8.0,7.976051581209703,[9.],-25.850178576570126,2.421876514783642e-147,5639.562173779552,0.0
you_are_quickwitted,"[1.0, 9.0]",7.0,7.050660116671784,[7.],-19.696447623639067,2.3129010572158415e-86,2422.751611912803,0.0
you_are_warm,"[1.0, 9.0]",8.0,7.833589192508444,[9.],-26.6820873109084,7.597235525662566e-157,5018.410193429536,0.0
you_like_me,"[1.0, 7.0]",5.0,5.350936444580903,[5.],-13.98354329561636,1.9645825203625684e-44,2348.082898372736,0.0
anticipated_each_other_sr6,"[1.0, 7.0]",4.0,3.636056511056511,[4.],2.765347652598805,0.0056862158861074865,543.2757985257986,3.9747294699564245e-114
developed_joint_perspective_sr2,"[1.0, 7.0]",5.0,4.920454545454546,[5.],-15.804049229104656,2.9175879730923192e-56,1581.7739557739558,0.0
our_thoughts_synced_up_sr1,"[1.0, 7.0]",4.0,4.0884520884520885,[5.],-5.113543838706791,3.161703371898041e-07,1065.4250614250614,6.301933248717031e-227
saw_world_in_same_way_sr8,"[1.0, 7.0]",5.0,4.815724815724816,[5.],-13.365588711793917,9.60718862191959e-41,1265.8538083538085,2.6692393621129888e-270
shared_reality,"[1.0, 7.0]",4.75,4.710457616707616,[4.75],-11.940654548066366,7.264921931767121e-33,1855.7714987714987,0.0
thoughts_became_more_alike_sr5,"[1.0, 7.0]",5.0,4.757371007371007,[5.],-12.686213502163374,7.051320565478274e-37,1109.5577395577398,1.7839129219269942e-236
