survey_var,var,Estimate,se,t value,Pr(>|t|),k
best_affect,(Intercept),7.961831013143017,0.04645435111060975,171.3904257146024,0.0,3257
best_affect,faster_xTRUE,-0.1038871897228096,0.045362640016837506,-2.290148670453245,0.02207640008456824,3257
best_affect,faster_yTRUE,-0.0959891336313487,0.05652711969516417,-1.6981076366351717,0.08958305654868472,3257
conv_leader,(Intercept),5.060153428967139,0.07844891461314692,64.50252949859333,0.0,3257
conv_leader,faster_xTRUE,-0.27792851913598515,0.07660530796855851,-3.628058244345897,0.0002899481711192068,3257
conv_leader,faster_yTRUE,-0.0025393735808580146,0.09545911373800832,-0.02660168821415455,0.9787790579422895,3257
conversationalist,(Intercept),76.31501377856884,0.7882165292449191,96.81985970489056,0.0,3257
conversationalist,faster_xTRUE,-2.14719512937825,0.7696928665804159,-2.7896778346378444,0.005306764025817402,3257
conversationalist,faster_yTRUE,-1.635790381039687,0.959126734721698,-1.7054997236776337,0.08819670214380837,3257
how_enjoyable,(Intercept),7.580498664986749,0.060147818628726875,126.03114855716925,0.0,3257
how_enjoyable,faster_xTRUE,-0.1328133190427994,0.058734301072387904,-2.261256482461786,0.023809133600661773,3257
how_enjoyable,faster_yTRUE,-0.1250972596202286,0.07318976289074769,-1.7092179927808295,0.08750592719480922,3257
in_common,(Intercept),5.985872051542906,0.07577958834327345,78.99055909920682,0.0,3257
in_common,faster_xTRUE,-0.12657394494292964,0.0739987128106702,-1.710488468451824,0.08727090338445204,3257
in_common,faster_yTRUE,-0.0359069345263039,0.09221099333690079,-0.3893997150113634,0.6970059644131567,3257
i_like_you,(Intercept),6.137155645165419,0.04534910604802,135.33134784766887,0.0,3257
i_like_you,faster_xTRUE,-0.07580451406930333,0.04428336901840578,-1.711805487016948,0.08702780789221139,3257
i_like_you,faster_yTRUE,-0.12821708256867212,0.05518222264135017,-2.323521533411271,0.020212470100946955,3257
i_felt_close_to_my_partner,(Intercept),5.168050641592849,0.13457315754154994,38.40327994085444,2.4105721693826868e-185,822
i_felt_close_to_my_partner,faster_xTRUE,-0.23049033386856435,0.1274618721500605,-1.8083080844537474,0.0709252401689406,822
i_felt_close_to_my_partner,faster_yTRUE,-0.15799340948428892,0.16570478496253455,-0.9534631695760074,0.3406367628265081,822
i_think_your_status,(Intercept),5.960574337365696,0.05839684580401196,102.0701418937972,0.0,3256
i_think_your_status,faster_xTRUE,0.010698818512137763,0.05703032060959781,0.18759877899646993,0.8512028835339003,3256
i_think_your_status,faster_yTRUE,-0.06837348387948974,0.07105919317649521,-0.9622046187558763,0.33601834620042215,3256
i_would_like_to_become_friends,(Intercept),5.146049382561557,0.13685259855953708,37.60286203350967,1.465139364078249e-180,822
i_would_like_to_become_friends,faster_xTRUE,-0.12029180490771675,0.12962086005608905,-0.9280281341727291,0.35366638825069685,822
i_would_like_to_become_friends,faster_yTRUE,-0.1317740201520128,0.16851154294176765,-0.7819880932284254,0.4344475832657678,822
overall_affect,(Intercept),7.470251629299423,0.050890739603491504,146.7899992710443,0.0,3257
overall_affect,faster_xTRUE,-0.14304957391006007,0.049694770148162766,-2.878563951167579,0.004020956465484228,3257
overall_affect,faster_yTRUE,-0.08992933599507073,0.061925457145928835,-1.452219170270315,0.14653708504289367,3257
responsive_1,(Intercept),5.793368311610961,0.04133001650921591,140.17338488890115,0.0,3256
responsive_1,faster_xTRUE,-0.06047070266510285,0.040362866519044416,-1.498176613312906,0.13418439660121947,3256
responsive_1,faster_yTRUE,-0.059317987954422044,0.05029171673026116,-1.1794782880960926,0.23829402982469358,3256
responsive_2,(Intercept),5.820852455841119,0.039990338275674116,145.55646955809596,0.0,3256
responsive_2,faster_xTRUE,-0.008550111376060284,0.039054537650923614,-0.21892747655810693,0.8267202766121853,3256
responsive_2,faster_yTRUE,-0.08156220940282512,0.04866155241092301,-1.676111947972234,0.09381236141767266,3256
responsive_3,(Intercept),5.988339834258025,0.03872342771487449,154.64384708789032,0.0,3256
responsive_3,faster_xTRUE,0.021265046246637595,0.037817273643402094,0.5623103993999226,0.5739432985947,3256
responsive_3,faster_yTRUE,-0.07159846561165804,0.047119934177305714,-1.5194941771829105,0.1287353345280846,3256
you_are_friendly,(Intercept),8.204333261259206,0.04641684695993286,176.75335139289422,0.0,3257
you_are_friendly,faster_xTRUE,-0.11478293668564302,0.04532601724102385,-2.532385231980074,0.011375586833500097,3257
you_are_friendly,faster_yTRUE,-0.07841586884921446,0.0564814834616641,-1.3883464817711095,0.1651265972617436,3257
you_are_good_listener,(Intercept),7.559255307744972,0.04783655583226774,158.02256613645963,0.0,3257
you_are_good_listener,faster_xTRUE,0.06088017437859276,0.046712361920580224,1.3032989957155339,0.1925649109574352,3257
you_are_good_listener,faster_yTRUE,-0.07078150433957112,0.05820902999799773,-1.2159883843109198,0.22407755072117427,3257
you_are_intelligent,(Intercept),7.735550062962994,0.049063942276900335,157.6626276646536,0.0,3257
you_are_intelligent,faster_xTRUE,-0.03617261351562663,0.047910903889595007,-0.7549975178715502,0.45030511121998407,3257
you_are_intelligent,faster_yTRUE,-0.052299997791337836,0.05970255253806659,-0.8760094094467928,0.3810895786858943,3257
you_are_kind,(Intercept),8.081834566378307,0.04688910517302134,172.3606056578867,0.0,3257
you_are_kind,faster_xTRUE,-0.09872261010120062,0.045787177042057745,-2.1561191687034804,0.031147429923525073,3257
you_are_kind,faster_yTRUE,-0.06779806982774891,0.05705614215132514,-1.1882694355313033,0.23481399300304925,3257
you_are_quickwitted,(Intercept),7.254033477283883,0.06461358016742164,112.26793900736968,0.0,3257
you_are_quickwitted,faster_xTRUE,-0.19989516390803883,0.06309511396155087,-3.1681560006350358,0.0015483059239316279,3257
you_are_quickwitted,faster_yTRUE,-0.12373772919988205,0.07862384239014264,-1.5737939718829552,0.11563230394661828,3257
you_are_warm,(Intercept),7.9909261863592675,0.05458524726834438,146.39351447975295,0.0,3257
you_are_warm,faster_xTRUE,-0.16956690993932524,0.053302454191388834,-3.181221437393389,0.0014803513623776847,3257
you_are_warm,faster_yTRUE,-0.08596239098597491,0.0664210506047328,-1.2942040242261645,0.19568679762596836,3257
you_like_me,(Intercept),5.5152158203536805,0.04626139203352194,119.21854440431113,0.0,3257
