var,phi,beta,std(phi),std(beta),dof,t(phi),p(phi),t(beta),p(beta)
conversationalist,0.00012423861510129996,-6.490512330220512e-05,4.294606985508338e-05,9.176626613303322e-05,49,20.35010186076068,0.0,-4.183338334709502,0.00011853124017724426
how_enjoyable,0.0007828749974837778,-0.0009780247995409368,0.0011694752737049113,0.0011624276787527454,49,3.4415877221971396,0.0011919153731900778,-6.181846956827094,1.2267827220746597e-07
i_felt_close_to_my_partner,0.00016815942338739573,-0.00026950438598323257,0.0026460276662074065,0.0013432654888951834,49,1.337378257358508,0.1872743259637586,-3.46747726442115,0.0011035287452425546
i_like_you,-0.1395165838360821,-0.02415025471326221,0.2368863500320039,0.05344787101823925,49,-4.234254408637459,0.00010047977846650014,-3.8283013078980592,0.00036671391090692396
i_think_your_status,-9.470153286271932e-05,-0.0019859935477363334,0.001639833275217189,0.001168121248265107,49,-0.5348435545807587,0.5951769190394514,-11.808009873236426,6.661338147750939e-16
i_would_like_to_become_friends,-0.005182385204114383,-0.0011128555529077123,0.004707073233057947,0.0013501863486474748,49,-7.892123284640994,2.7940361135847525e-10,-5.392572450635892,1.987660326774332e-06
you_are_friendly,-0.07953430095184696,-0.7658252831742391,0.07758374518399838,0.44366264136526323,49,-7.6867154203160135,5.773719280455225e-10,-14.999391445426642,0.0
you_are_good_listener,-0.0062504637934240066,-0.024856079230673386,0.008614831267649198,0.024994595506302092,49,-6.199295392870407,1.1529558885392532e-07,-7.588324124757561,8.181431088161162e-10
you_are_intelligent,-0.200673991436384,-0.6376068220740333,0.2524188155490756,0.3213212883459127,49,-6.187857224790325,1.20083528676318e-07,-14.088594652362932,0.0
you_are_kind,-0.39837387090143533,-0.5841156909919143,0.3522539831662083,0.3737215033127293,49,-8.511923231032922,3.184430497071844e-11,-10.1615077680567,1.1790568521519162e-13
you_are_quickwitted,0.00146131671095473,-0.0005502193624601825,0.0007261331639716551,0.0008030204548881392,49,14.006114460694718,0.0,-4.81306204098901,1.464167867437638e-05
you_are_warm,-0.16601860331086138,-0.14163389541104618,0.23185496256415994,0.19592824829768957,49,-5.382631757697555,2.0578130992543464e-06,-5.601523999012113,9.561184810547019e-07
you_like_me,0.0015058520051649466,-0.0008376743200869964,0.0009970633328312403,0.0009686004339127121,49,10.177242009127829,1.1191048088221578e-13,-6.442638159968618,4.845946666165446e-08
