variable,range,median,mean,mode,skew_stat,skew_p,chi_stat,chi_p
best_affect,"[1.1111111111111112, 10.0]",8.88888888888889,8.700917681574728,[10.],-20.4358087353058,8.035055689218003e-93,4714.587657353393,0.0
conv_leader,"[1.1111111111111112, 10.0]",5.555555555555555,5.458670214580562,[5.55555556],-0.17722212295233733,0.8593339190997697,1118.9646914338348,3.0721558779886493e-236
conversationalist,"[0.0, 10.0]",7.9,7.388547743322076,[9.],-22.179386010582007,5.431503484457178e-109,6551.635554190974,0.0
how_enjoyable,"[1.1111111111111112, 10.0]",8.88888888888889,8.234571691740864,[10.],-22.78011670602136,7.21981882186095e-115,3218.084126496776,0.0
i_like_you,"[1.4285714285714284, 10.0]",8.571428571428571,8.564410719768409,[10.],-23.672435606591588,6.934912868350152e-124,3718.741786920479,0.0
i_felt_close_to_my_partner,"[1.4285714285714284, 10.0]",7.142857142857143,7.014250955856793,[8.57142857],-8.47098608529305,2.4332430734065387e-17,341.5328467153285,1.0137851155889884e-70
i_think_your_status,"[1.0, 10.0]",6.0,5.9115479115479115,[5.],-1.9365865945299061,0.05279589793954769,2895.3820638820634,0.0
i_would_like_to_become_friends,"[1.4285714285714284, 10.0]",7.142857142857143,7.101147028154327,[8.57142857],-7.62804199823638,2.3834592251916682e-14,254.5693430656935,4.328281005258684e-52
overall_affect,"[1.1111111111111112, 10.0]",7.777777777777778,8.137345205199058,[7.77777778],-13.98963336439369,1.8033921152543672e-44,3368.9757445501996,0.0
responsive_1,"[1.4285714285714284, 10.0]",8.571428571428571,8.163390663390663,[8.57142857],-25.22580238728043,2.0878522225636804e-140,4371.540540540541,0.0
responsive_2,"[1.4285714285714284, 10.0]",8.571428571428571,8.216040716040716,[8.57142857],-22.39113820624542,4.801694641770095e-111,4208.124078624079,0.0
responsive_3,"[1.4285714285714284, 10.0]",8.571428571428571,8.488943488943487,[8.57142857],-27.7953933876837,4.9311250697901574e-170,4908.145577395579,0.0
you_are_good_listener,"[1.1111111111111112, 10.0]",8.88888888888889,8.371712209599835,[7.77777778],-25.313454355094017,2.2712502281798806e-141,4712.531777709548,0.0
you_are_kind,"[1.1111111111111112, 10.0]",8.88888888888889,8.862279534677446,[10.],-25.850178576570112,2.4218765147843307e-147,5639.562173779552,0.0
you_are_quickwitted,"[1.1111111111111112, 10.0]",7.777777777777778,7.834066796301982,[7.77777778],-19.696447623639067,2.3129010572158415e-86,2422.751611912803,0.0
you_are_warm,"[1.1111111111111112, 10.0]",8.88888888888889,8.703987991676048,[10.],-26.6820873109084,7.597235525662566e-157,5018.410193429536,0.0
you_like_me,"[1.4285714285714284, 10.0]",7.142857142857143,7.64419492082986,[7.14285714],-13.983543295616341,1.9645825203630725e-44,2348.082898372736,0.0
you_are_intelligent,"[1.1111111111111112, 10.0]",8.88888888888889,8.527615733633539,[8.88888889],-23.015321223337505,3.274351621957469e-117,4304.572305802885,0.0
you_are_friendly,"[1.1111111111111112, 10.0]",8.88888888888889,8.979633609661242,[10.],-29.299353966710857,1.0569714708430698e-188,6514.184218606079,0.0
in_common,"[1.1111111111111112, 10.0]",6.666666666666666,6.5455599904479245,[7.77777778],-10.400025079886396,2.478679484871825e-25,1141.3693583051888,4.447493669383069e-241
anticipated_each_other_sr6,"[1.4285714285714284, 10.0]",5.7142857142857135,5.194366444366444,[5.71428571],2.7653476525988125,0.005686215886107355,543.2757985257986,3.9747294699564245e-114
developed_joint_perspective_sr2,"[1.4285714285714284, 10.0]",7.142857142857143,7.029220779220778,[7.14285714],-15.80404922910462,2.917587973093942e-56,1581.7739557739558,0.0
thoughts_became_more_alike_sr5,"[1.4285714285714284, 10.0]",7.142857142857143,6.7962442962442955,[7.14285714],-12.68621350216338,7.051320565477871e-37,1109.5577395577398,1.7839129219269942e-236
shared_reality,"[1.4285714285714284, 10.0]",6.7857142857142865,6.7292251667251675,[6.78571429],-11.940654548066405,7.264921931763588e-33,1855.7714987714987,0.0
our_thoughts_synced_up_sr1,"[1.4285714285714284, 10.0]",5.7142857142857135,5.84064584064584,[7.14285714],-5.11354383870678,3.161703371898221e-07,1065.4250614250614,6.301933248717031e-227
saw_world_in_same_way_sr8,"[1.4285714285714284, 10.0]",7.142857142857143,6.87960687960688,[7.14285714],-13.36558871179392,9.607188621919318e-41,1265.8538083538085,2.6692393621129888e-270
