corpus,param,beta,std,k,se,t,p
CABNC,Intercept,-0.14272032552688066,1.4352152927589756,1997,0.03211648597358611,-4.443833788175319,4.6606600981879964e-06
CABNC,nx,0.17598260057927817,0.12289739979124789,1997,0.002750132775549143,63.99058334343083,0.0
CABNC,ny,-0.03164625436032784,0.05118951524355711,1997,0.0011454917994595712,-27.626783862842274,0.0
CABNC,other,0.11007502618829125,1.5231179053879622,1997,0.03408352397811671,3.2295670558879066,0.0006299598232754056
CABNC,self,-0.20067220526601556,2.052572389976161,1997,0.04593137538669613,-4.3689570272293565,6.562212545579982e-06
CABNC,turn_delta_other,-0.018698390525507265,0.5228186076730845,1997,0.01169935727746058,-1.5982408334114804,0.055073833666481775
CABNC,turn_delta_self,0.007249682086891726,1.0371920970869035,1997,0.02320973418139296,0.312355239841727,0.3774015953232568
CANDOR,Intercept,0.11050314380096886,0.3792766543262405,1653,0.009328669018057255,11.845542336969066,0.0
CANDOR,nx,0.13567781745161356,0.017056538711556078,1653,0.00041952174598366493,323.41069026943,0.0
CANDOR,ny,-0.02349712675339703,0.004826155049676754,1653,0.00011870386055856235,-197.94745211175976,0.0
CANDOR,other,0.1158735538929401,0.27211790190222784,1653,0.006692997873131756,17.312653625380744,0.0
CANDOR,self,-0.26045551536355044,0.2538477202066542,1653,0.006243625426940615,-41.71542934649973,0.0
CANDOR,turn_delta_other,-0.013555193401491607,0.04422306148872775,1653,0.0010877081383413622,-12.46216050397657,0.0
CANDOR,turn_delta_self,0.03389459550629661,0.049921064576121325,1653,0.0012278559282457764,27.60470078498658,0.0
CORAAL,Intercept,-0.1273669590534242,0.1130971268585008,271,0.006870161189783556,-18.53915148931708,0.0
CORAAL,nx,0.1499932241057847,0.010244653123298121,271,0.0006223183580829173,241.0232996626458,0.0
CORAAL,ny,-0.023411002020224943,0.004666773911173738,271,0.0002834863262808905,-82.5824734736176,0.0
CORAAL,other,0.018168062322104533,0.11001295662221189,271,0.006682811190286684,2.7186257107654637,0.0034899854917901374
CORAAL,self,-0.1640696262488948,0.09186918859498362,271,0.005580655773968695,-29.399703707619352,0.0
CORAAL,turn_delta_other,0.0009890363596869098,0.013034451430866522,271,0.0007917865363856242,1.2491199511950515,0.10635152525726899
CORAAL,turn_delta_self,0.01825232644840223,0.016577313332727054,271,0.0010070000702305426,18.125447046119415,0.0
DISPEL,Intercept,-0.198246087314321,0.0669246049093244,19,0.015353557349270058,-12.91206218888068,7.691125514242003e-11
DISPEL,nx,0.15168464239731436,0.006333698203012852,19,0.0014530500213588515,104.39051661515626,0.0
DISPEL,ny,-0.020002196849961063,0.006661976450465103,19,0.0015283622164118517,-13.087340576189055,6.169209587625346e-11
DISPEL,other,-0.0030788935939719507,0.05126052539533611,19,0.0117599710521616,-0.2618113242214163,0.3982197042418565
DISPEL,self,-0.0668880164346905,0.05717171711520296,19,0.013116091438624442,-5.099691226436389,3.7430334777655005e-05
DISPEL,turn_delta_other,-0.0012630988021176905,0.010099845616195594,19,0.002317063494018888,-0.5451291280442546,0.2961779346347979
DISPEL,turn_delta_self,0.0060961694587239375,0.011019965974363666,19,0.0025281535812372606,2.411312945529407,0.01339844535664192
Frederiksen,Intercept,-0.2327150254582182,0.12754913170762694,2,0.09019085596491909,-2.5802507689774643,0.11769055554703933
Frederiksen,nx,0.16312639387969535,0.010703110389264445,2,0.0075682419360370776,21.554067015610293,0.014757390981857799
Frederiksen,ny,-0.01825547644130237,0.004962273095231352,2,0.0035088569557376473,-5.202684712310999,0.06044468863435559
Frederiksen,other,0.1820471028357913,0.09624903651787693,2,0.06805834640446243,2.674868145545407,0.11387926059028197
Frederiksen,self,-0.4793856223267827,0.21375245034870208,2,0.15114580713680803,-3.1716766174854714,0.09721986740540212
Frederiksen,turn_delta_other,0.03926167184766792,0.11166806073925566,2,0.07896124299067894,0.49722712511380557,0.353123272026975
Frederiksen,turn_delta_self,0.05951611933268251,0.008476727454195034,2,0.005993951465131487,9.92936290507266,0.03194970397302632
GCSAusE,Intercept,-0.2550270316895254,0.15547992026982999,40,0.024583533923702206,-10.373896303152785,4.4786396813378815e-13
GCSAusE,nx,0.16883375921235952,0.012511931910225205,40,0.001978310138262652,85.34241216628905,0.0
GCSAusE,ny,-0.020173913619510393,0.007436844095085813,40,0.0011758682972022496,-17.15660985801752,0.0
GCSAusE,other,0.04569736781756274,0.21997278451571853,40,0.034780751115954474,1.3138694925021515,0.0982832516237846
GCSAusE,self,-0.24930742278545698,0.25099724483922486,40,0.039686149005944686,-6.2819756774110935,1.0511702375204379e-07
GCSAusE,turn_delta_other,-0.012428958211852293,0.044982880488657756,40,0.007112417902965324,-1.7475011144480677,0.04421053232232297
GCSAusE,turn_delta_self,0.040008415949165446,0.05816665887146315,40,0.00919695629579314,4.3501800663623955,4.740646243983626e-05
Graesser,Intercept,-0.09644215723203242,0.14960642621237122,3,0.08637531044621041,-1.1165477349235238,0.1901670274729539
Graesser,nx,0.1606176262288188,0.008198554528963098,3,0.00473343766426267,33.932553383237234,0.0004336822015145181
Graesser,ny,-0.02807077387314513,0.005158037870272002,3,0.0029779945528918246,-9.42606622496559,0.0055341603686769325
Graesser,other,-0.005179653641664649,0.04013506873690311,3,0.023171992739195145,-0.22353078131702186,0.4219390180020467
