corpus,cid,param,beta,k
CABNC,CABNC-KBWRE01F-KBW.parquet,nx,0.17384946553699815,838
CABNC,CABNC-KBWRE01F-KBW.parquet,Intercept,-0.4087037443367321,838
CABNC,CABNC-KBWRE01F-KBW.parquet,self,-0.8908890970453517,838
CABNC,CABNC-KBWRE01F-KBW.parquet,other,-0.5091725578518507,838
CABNC,CABNC-KBWRE01F-KBW.parquet,turn_delta,0.19574731133543793,838
CABNC,CABNC-KB8RE00L-KB8.parquet,nx,0.18323948994735972,6511
CABNC,CABNC-KB8RE00L-KB8.parquet,Intercept,-0.5781469094718676,6511
CABNC,CABNC-KB8RE00L-KB8.parquet,self,-0.011453540447277236,6511
CABNC,CABNC-KB8RE00L-KB8.parquet,other,0.11344406890081529,6511
CABNC,CABNC-KB8RE00L-KB8.parquet,turn_delta,-0.023567667732542964,6511
CABNC,CABNC-KC4RE00C-KC4.parquet,nx,0.15187463783806626,8412
CABNC,CABNC-KC4RE00C-KC4.parquet,Intercept,-0.150860907722559,8412
CABNC,CABNC-KC4RE00C-KC4.parquet,self,-0.3869339925327854,8412
CABNC,CABNC-KC4RE00C-KC4.parquet,other,-0.37883947922417655,8412
CABNC,CABNC-KC4RE00C-KC4.parquet,turn_delta,0.012250612907983781,8412
CABNC,CABNC-KBKRE05N-KBK.parquet,nx,0.17853151300451167,189
CABNC,CABNC-KBKRE05N-KBK.parquet,Intercept,-0.22535050660050224,189
CABNC,CABNC-KBKRE05N-KBK.parquet,self,-0.6353077765829941,189
CABNC,CABNC-KBKRE05N-KBK.parquet,other,0.09326234096987629,189
CABNC,CABNC-KBKRE05N-KBK.parquet,turn_delta,-0.15585549802068369,189
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,nx,0.10744196791154295,25437
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,Intercept,-0.11605389208546567,25437
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,self,-0.04925747247638726,25437
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,other,-0.05149120129189333,25437
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,turn_delta,0.019694146331846844,25437
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,nx,0.12867958467989207,28780
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,Intercept,-0.3608570347668821,28780
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,self,-0.26747879744691244,28780
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,other,0.07611370576545297,28780
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,turn_delta,0.03351138711058664,28780
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,nx,0.1627524499859852,105003
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,Intercept,-0.48928003603077513,105003
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,self,-0.16002932588561927,105003
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,other,0.062214735231396485,105003
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,turn_delta,0.012293517651337734,105003
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,nx,0.13867734252120617,31243
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,Intercept,-0.5523128804607002,31243
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,self,0.05185075881772374,31243
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,other,0.08797999066577791,31243
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,turn_delta,0.0035379873808114625,31243
CABNC,CABNC-KB0RE00C-KB0.parquet,nx,0.23067006633433607,15861
CABNC,CABNC-KB0RE00C-KB0.parquet,Intercept,-1.2610037531280236,15861
CABNC,CABNC-KB0RE00C-KB0.parquet,self,-0.092694767534051,15861
CABNC,CABNC-KB0RE00C-KB0.parquet,other,-0.20106361491625913,15861
CABNC,CABNC-KB0RE00C-KB0.parquet,turn_delta,0.061005408068593545,15861
CABNC,CABNC-KC9RE019-KC9.parquet,nx,0.18018029486984602,189
CABNC,CABNC-KC9RE019-KC9.parquet,Intercept,-0.24497773975283502,189
CABNC,CABNC-KC9RE019-KC9.parquet,self,-0.38402322625391705,189
CABNC,CABNC-KC9RE019-KC9.parquet,other,-0.21076759935855033,189
CABNC,CABNC-KC9RE019-KC9.parquet,turn_delta,0.0018517314145244828,189
CABNC,CABNC-KDARE03L-KDA.parquet,nx,0.1315378144576907,119
CABNC,CABNC-KDARE03L-KDA.parquet,Intercept,0.685707293895054,119
CABNC,CABNC-KDARE03L-KDA.parquet,self,-1.3352072262407189,119
CABNC,CABNC-KDARE03L-KDA.parquet,other,-1.1266347433813153,119
CABNC,CABNC-KDARE03L-KDA.parquet,turn_delta,0.009237362117136497,119
