corpus,cid,param,beta,k
xling,callhome-deu-callhome-deu-6692.parquet,nx,0.15248081360254354,31883
xling,callhome-deu-callhome-deu-6692.parquet,Intercept,-0.39533600317562295,31883
xling,callhome-deu-callhome-deu-6692.parquet,self,-0.04315527681339082,31883
xling,callhome-deu-callhome-deu-6692.parquet,other,-0.03331374405609747,31883
xling,callhome-deu-callhome-deu-6692.parquet,turn_delta,0.0032579635436361066,31883
xling,finchat-fin-finchat-fin-63.parquet,nx,0.15383584573863499,277
xling,finchat-fin-finchat-fin-63.parquet,Intercept,-0.3339356997521447,277
xling,finchat-fin-finchat-fin-63.parquet,self,0.058575695793526866,277
xling,finchat-fin-finchat-fin-63.parquet,other,0.12036098595130641,277
xling,finchat-fin-finchat-fin-63.parquet,turn_delta,-0.00851822208345587,277
xling,croation-cro-croation-cro-2011_62.parquet,nx,0.1546334150429649,55904
xling,croation-cro-croation-cro-2011_62.parquet,Intercept,-0.4481014300640733,55904
xling,croation-cro-croation-cro-2011_62.parquet,self,-0.02077070076891409,55904
xling,croation-cro-croation-cro-2011_62.parquet,other,-0.0018479552657613102,55904
xling,croation-cro-croation-cro-2011_62.parquet,turn_delta,0.0039051755583044603,55904
xling,finchat-fin-finchat-fin-28.parquet,nx,0.13857811558122846,302
xling,finchat-fin-finchat-fin-28.parquet,Intercept,0.12625415243498664,302
xling,finchat-fin-finchat-fin-28.parquet,self,-0.8760941544602517,302
xling,finchat-fin-finchat-fin-28.parquet,other,-0.7290272334623269,302
xling,finchat-fin-finchat-fin-28.parquet,turn_delta,0.10228264235252485,302
xling,callfriend-ko-callfriend-ko-5873.parquet,nx,0.14262223332048732,47001
xling,callfriend-ko-callfriend-ko-5873.parquet,Intercept,-0.2933329953501085,47001
xling,callfriend-ko-callfriend-ko-5873.parquet,self,0.004328975956606167,47001
xling,callfriend-ko-callfriend-ko-5873.parquet,other,0.0394972055040894,47001
xling,callfriend-ko-callfriend-ko-5873.parquet,turn_delta,0.003663098308157907,47001
callhome,callhome-6045.parquet,nx,0.15884039864022473,23011
callhome,callhome-6045.parquet,Intercept,-0.4517314766244485,23011
callhome,callhome-6045.parquet,self,-0.06647576893560793,23011
callhome,callhome-6045.parquet,other,0.03812710594172628,23011
callhome,callhome-6045.parquet,turn_delta,0.0032327587401475297,23011
xling,finchat-fin-finchat-fin-42.parquet,nx,0.14559413602612947,3030
xling,finchat-fin-finchat-fin-42.parquet,Intercept,-0.009551232789501273,3030
xling,finchat-fin-finchat-fin-42.parquet,self,-0.3843863729462118,3030
xling,finchat-fin-finchat-fin-42.parquet,other,-0.37081174759266533,3030
xling,finchat-fin-finchat-fin-42.parquet,turn_delta,0.01302437794909079,3030
xling,callfriend-spa-s-callfriend-spa-s-6821.parquet,nx,0.14627067134454091,29874
xling,callfriend-spa-s-callfriend-spa-s-6821.parquet,Intercept,-0.39953726573648063,29874
xling,callfriend-spa-s-callfriend-spa-s-6821.parquet,self,-0.05791887100321492,29874
xling,callfriend-spa-s-callfriend-spa-s-6821.parquet,other,-0.02781179447220577,29874
xling,callfriend-spa-s-callfriend-spa-s-6821.parquet,turn_delta,0.006414306396981659,29874
xling,croation-cro-croation-cro-2015_11_2.parquet,nx,0.148160548082215,23136
xling,croation-cro-croation-cro-2015_11_2.parquet,Intercept,-0.4145584238706118,23136
xling,croation-cro-croation-cro-2015_11_2.parquet,self,-0.08334148536056261,23136
xling,croation-cro-croation-cro-2015_11_2.parquet,other,-0.0484892590057986,23136
xling,croation-cro-croation-cro-2015_11_2.parquet,turn_delta,0.006099133442416253,23136
xling,callhome-spa-callhome-spa-0098.parquet,nx,0.16936379568273627,20315
xling,callhome-spa-callhome-spa-0098.parquet,Intercept,-0.5375718251557247,20315
xling,callhome-spa-callhome-spa-0098.parquet,self,-0.09605384268987416,20315
xling,callhome-spa-callhome-spa-0098.parquet,other,0.11260744038298567,20315
xling,callhome-spa-callhome-spa-0098.parquet,turn_delta,0.004616246005937438,20315
xling,callfriend-fra-q-callfriend-fra-q-5485.parquet,nx,0.1727992168332978,77994
xling,callfriend-fra-q-callfriend-fra-q-5485.parquet,Intercept,-0.5520588966054688,77994
xling,callfriend-fra-q-callfriend-fra-q-5485.parquet,self,-0.014390306763598915,77994
xling,callfriend-fra-q-callfriend-fra-q-5485.parquet,other,-0.00435040212964061,77994
xling,callfriend-fra-q-callfriend-fra-q-5485.parquet,turn_delta,0.006497196831038857,77994
xling,callhome-deu-callhome-deu-5224.parquet,nx,0.17386730347257026,24511
xling,callhome-deu-callhome-deu-5224.parquet,Intercept,-0.4944872672977073,24511
xling,callhome-deu-callhome-deu-5224.parquet,self,-0.10491979145594706,24511
xling,callhome-deu-callhome-deu-5224.parquet,other,-0.077754518588662,24511
xling,callhome-deu-callhome-deu-5224.parquet,turn_delta,0.012272662543791737,24511
xling,callfriend-spa-c-callfriend-spa-c-6959.parquet,nx,0.15092487481112998,48132
xling,callfriend-spa-c-callfriend-spa-c-6959.parquet,Intercept,-0.38615543164708516,48132
xling,callfriend-spa-c-callfriend-spa-c-6959.parquet,self,-0.2989560372800475,48132
xling,callfriend-spa-c-callfriend-spa-c-6959.parquet,other,0.0,48132
xling,callfriend-spa-c-callfriend-spa-c-6959.parquet,turn_delta,0.016419142537515665,48132
callfriend,eng_n-callfriend-eng_n-5051.parquet,nx,0.18592723080934836,2720
callfriend,eng_n-callfriend-eng_n-5051.parquet,Intercept,-0.6216817355470025,2720
callfriend,eng_n-callfriend-eng_n-5051.parquet,self,0.06818617311021546,2720
callfriend,eng_n-callfriend-eng_n-5051.parquet,other,0.19784660469126042,2720
callfriend,eng_n-callfriend-eng_n-5051.parquet,turn_delta,-0.03844375351276257,2720
xling,callhome-spa-callhome-spa-1045.parquet,nx,0.1386022378615546,23978
xling,callhome-spa-callhome-spa-1045.parquet,Intercept,-0.3290426019899395,23978
xling,callhome-spa-callhome-spa-1045.parquet,self,-0.09051207822261716,23978
xling,callhome-spa-callhome-spa-1045.parquet,other,-0.07586261515174975,23978
xling,callhome-spa-callhome-spa-1045.parquet,turn_delta,0.008040638446180212,23978
callfriend,eng_n-callfriend-eng_n-6372.parquet,nx,0.1842878026713659,4636
callfriend,eng_n-callfriend-eng_n-6372.parquet,Intercept,-0.6522758086003737,4636
callfriend,eng_n-callfriend-eng_n-6372.parquet,self,-0.4321013322022755,4636
callfriend,eng_n-callfriend-eng_n-6372.parquet,other,0.15017178708343965,4636
callfriend,eng_n-callfriend-eng_n-6372.parquet,turn_delta,0.03428502841734212,4636
xling,croation-cro-croation-cro-2011_79.parquet,nx,0.16345807073563112,42315
xling,croation-cro-croation-cro-2011_79.parquet,Intercept,-0.5094461393760292,42315
xling,croation-cro-croation-cro-2011_79.parquet,self,-0.06744627347746575,42315
xling,croation-cro-croation-cro-2011_79.parquet,other,-0.04680440051367902,42315
xling,croation-cro-croation-cro-2011_79.parquet,turn_delta,0.012731585590071157,42315
xling,callhome-spa-callhome-spa-1926.parquet,nx,0.14205491283538615,19250
xling,callhome-spa-callhome-spa-1926.parquet,Intercept,-0.3411023436225371,19250
xling,callhome-spa-callhome-spa-1926.parquet,self,-0.1815947409000878,19250
xling,callhome-spa-callhome-spa-1926.parquet,other,-0.14794275805203827,19250
xling,callhome-spa-callhome-spa-1926.parquet,turn_delta,0.022978234249087095,19250
xling,yiddish-yid-yiddish-07.parquet,nx,0.09057187636804194,54
xling,yiddish-yid-yiddish-07.parquet,Intercept,7.097369935121263,54
xling,yiddish-yid-yiddish-07.parquet,self,-10.101796511661787,54
xling,yiddish-yid-yiddish-07.parquet,other,0.0,54
xling,yiddish-yid-yiddish-07.parquet,turn_delta,-0.27199789722667184,54
xling,callhome-zho-callhome-zho-2200.parquet,nx,0.10769957087623,13246
xling,callhome-zho-callhome-zho-2200.parquet,Intercept,-0.2649781091556018,13246
xling,callhome-zho-callhome-zho-2200.parquet,self,-0.18177912013464387,13246
xling,callhome-zho-callhome-zho-2200.parquet,other,-0.15809222024939312,13246
xling,callhome-zho-callhome-zho-2200.parquet,turn_delta,0.0013578040186351028,13246
xling,croation-cro-croation-cro-2015_30.parquet,nx,0.16441716329656372,49030
xling,croation-cro-croation-cro-2015_30.parquet,Intercept,-0.5136810420287823,49030
xling,croation-cro-croation-cro-2015_30.parquet,self,-0.06986043548357065,49030
xling,croation-cro-croation-cro-2015_30.parquet,other,-0.03636115112892304,49030
xling,croation-cro-croation-cro-2015_30.parquet,turn_delta,0.0069149038817628355,49030
xling,callhome-spa-callhome-spa-0731.parquet,nx,0.1513083409044118,20292
xling,callhome-spa-callhome-spa-0731.parquet,Intercept,-0.37343121753978104,20292
xling,callhome-spa-callhome-spa-0731.parquet,self,-0.08821095788328885,20292
xling,callhome-spa-callhome-spa-0731.parquet,other,-0.06845534379735183,20292
xling,callhome-spa-callhome-spa-0731.parquet,turn_delta,0.009164997951775736,20292
xling,callhome-zho-callhome-zho-0881.parquet,nx,0.126053813926584,35322
xling,callhome-zho-callhome-zho-0881.parquet,Intercept,-0.5061928464757451,35322
xling,callhome-zho-callhome-zho-0881.parquet,self,-0.003855121636091046,35322
xling,callhome-zho-callhome-zho-0881.parquet,other,0.015449063786513763,35322
xling,callhome-zho-callhome-zho-0881.parquet,turn_delta,0.004197058769458621,35322
xling,callhome-deu-callhome-deu-6446.parquet,nx,0.16735176155321446,41345
xling,callhome-deu-callhome-deu-6446.parquet,Intercept,-0.48540498478781163,41345
xling,callhome-deu-callhome-deu-6446.parquet,self,-0.03155329646287758,41345
xling,callhome-deu-callhome-deu-6446.parquet,other,0.02542798559667386,41345
xling,callhome-deu-callhome-deu-6446.parquet,turn_delta,0.0024484839975264187,41345
xling,croation-cro-croation-cro-2015_14.parquet,nx,0.16192567653720394,49256
xling,croation-cro-croation-cro-2015_14.parquet,Intercept,-0.49957213396339617,49256
xling,croation-cro-croation-cro-2015_14.parquet,self,-0.06613933500735691,49256
xling,croation-cro-croation-cro-2015_14.parquet,other,-0.039824780153755755,49256
xling,croation-cro-croation-cro-2015_14.parquet,turn_delta,0.007952040486667642,49256
xling,callhome-deu-callhome-deu-4028.parquet,nx,0.1636183627045188,30051
xling,callhome-deu-callhome-deu-4028.parquet,Intercept,-0.4231665864562813,30051
xling,callhome-deu-callhome-deu-4028.parquet,self,-0.13526790798222718,30051
xling,callhome-deu-callhome-deu-4028.parquet,other,-0.08767327157595028,30051
xling,callhome-deu-callhome-deu-4028.parquet,turn_delta,0.014567225739768435,30051
callhome,callhome-6067.parquet,nx,0.16511146319800732,43185
callhome,callhome-6067.parquet,Intercept,-0.45667004541023926,43185
callhome,callhome-6067.parquet,self,-0.014669926896354034,43185
callhome,callhome-6067.parquet,other,-0.011112837513381183,43185
callhome,callhome-6067.parquet,turn_delta,0.003907645206502957,43185
xling,callhome-deu-callhome-deu-4124.parquet,nx,0.15180004069613154,4835
xling,callhome-deu-callhome-deu-4124.parquet,Intercept,-0.20025094162278081,4835
xling,callhome-deu-callhome-deu-4124.parquet,self,-0.5552925805531952,4835
xling,callhome-deu-callhome-deu-4124.parquet,other,-0.11458666355184084,4835
